week,date,area,obs_counts,exp_counts
154,48938.95367998,97,80,56317.75
155,48945.57173704,69,55,57029.5
156,48952.52868013,72,68,34666.25
157,48959.50368163,96,71,70222.66
158,48966.55507057,115,107,30619.170000000016
159,48974.99951366,10,8,7801.0
160,48981.75437627,87,63,67735.625
161,48987.70993186,92,79,45607.905
162,48995.01135845,61,44,43188.75
163,49001.49465425,62,50,74693.125
164,49008.5106265,32,19,24220.0
165,49018.93215297,38,25,26107.5
166,49022.48770999,43,41,38675.5
167,49029.49396003,96,70,67944.5
168,49036.55576424,80,71,28914.375
169,49043.51965321,60,46,24563.75
170,49050.5118914,55,42,20999.25
171,49057.48330351,50,39,37374.5
172,49065.25339615,72,62,44418.6
173,49071.45833333,0,0,0.0
174,49078.61757164,72,66,22129.0
175,49086.50298839,23,20,8800.75
176,49092.65141725,66,51,46841.75
177,49099.53909962,47,44,46634.0
178,49106.5002108,59,58,60776.5
179,49113.47729421,46,46,45180.75
180,49120.49534985,35,31,31857.75
181,49127.46201655,31,26,35183.75
182,49134.62104441,129,106,40291.95000000001
183,49141.54737839,42,37,44193.25
184,49148.69535012,75,63,62218.75
185,49155.50015633,87,77,80547.0
186,49162.47103654,84,77,69210.0
187,49169.53352503,88,63,39069.65
188,49176.47310841,37,33,30522.9
189,49183.78908071,67,63,64530.5
190,49190.87102381,26,20,23083.25
191,49199.42727531,25,15,12135.300000011921
192,49205.05574615,76,48,38017.5
193,49211.47241432,76,65,30779.52500000596
194,49219.39810883,20,18,8938.0
195,49227.34533113,76,67,20513.125
196,49233.92449788,134,133,104867.75
197,49239.68522998,52,40,42325.125
198,49246.81408128,42,30,42203.5
199,49253.47380359,87,72,73235.25
200,49260.4979848,60,49,51128.625
201,49268.3286649,47,26,27420.125
202,49274.69672508,96,72,63809.625
203,49281.50575289,59,47,27810.774999946356
204,49289.06894737,41,31,41274.625
205,49295.83561404,65,52,89687.875
206,49305.93422373,67,56,48900.0
207,49309.48491814,110,97,87243.70000000298
208,49316.45922512,100,73,79646.25
209,49323.55505845,6,4,6000.0
210,49330.45833333,0,0,0.0
211,49341.40367341,7,4,62.0
212,49350.76825825,16,16,2970.22
213,49352.08700683,96,68,12842.659999999998
214,49359.28284167,61,60,63059.0
215,49365.94186806,8,8,1120.0
216,49376.20923071,47,37,26411.0
217,49381.94316887,45,45,28378.75
218,49386.4675627,90,80,80486.625
219,49393.78353646,170,117,115558.125
220,49400.46036814,128,103,65754.5
221,49407.4842309,135,106,83758.0
222,49414.48700868,321,202,157085.185
223,49421.46200872,277,172,142532.905
224,49428.4967309,160,112,79667.53
225,49435.72520316,212,109,94768.25
226,49442.49811983,126,109,78080.375
227,49449.62798098,65,55,45315.25
228,49457.09117392,122,108,70151.25
229,49463.63284059,123,108,75736.625
230,49470.45853649,83,76,39625.5
231,49477.49673098,225,195,114998.75
232,49484.47659071,238,205,122596.31999999999
233,49491.65367392,138,126,80936.45999999999
234,49498.4904809,158,126,108217.875
235,49505.7814517,125,80,78041.0
236,49512.48770321,68,60,69671.75
237,49520.1383976,185,155,153253.1
238,49526.58839757,169,141,106992.5
239,49533.63977913,120,83,84220.0
240,49543.68292608,84,69,65366.25
241,49547.62658064,467,361,79462.86000000003
242,49554.45852369,299,252,65495.650000000016
243,49561.86616409,279,212,104685.00000000004
244,49568.48005304,172,130,131680.0
245,49575.46546979,245,219,110265.0
246,49582.48074618,621,503,168905.4399999999
247,49589.46338661,131,97,85566.0
248,49596.5981083,174,142,105461.72999999998
249,49603.47796941,220,203,132896.41000000003
250,49610.47241381,161,151,101601.61
251,49618.04046791,311,214,124215.70000000001
252,49624.60366381,246,196,146995.25
253,49631.51338603,202,162,123026.89999999998
254,49638.47658047,244,223,116195.0
255,49645.48977928,147,114,74249.7
256,49652.49741959,232,193,156155.455
257,49659.69325293,141,123,150840.0
258,49666.52172515,171,134,103923.75
259,49673.56130848,115,73,68516.825
260,49680.50089182,266,210,128579.175
261,49687.49255845,193,145,135156.125
262,49694.49741956,214,196,117995.0
263,49701.49116814,138,110,64819.25
264,49708.47797523,193,143,128758.0
265,49715.66339198,188,129,119977.7
266,49722.47589059,155,96,80424.0
267,49729.51200321,252,231,140179.0
268,49736.49186296,200,165,130658.875
269,49744.13492002,135,118,80978.4
270,49750.50019788,218,143,100358.875
271,49757.50436462,236,158,117014.24999999999
272,49764.52589182,342,268,183257.62499999997
273,49771.49394595,271,222,141443.65499999997
274,49778.53561409,164,148,110380.18000000002
275,49785.48908626,130,99,97690.0
276,49792.4758919,204,160,57180.5
277,49799.46616964,181,142,114990.0
278,49806.58075297,189,168,132509.40000000005
279,49813.46686412,284,192,76844.8
280,49820.49047388,168,136,110318.0
281,49827.87311409,201,176,103814.5
282,49834.45853075,208,151,71339.40000000005
283,49841.75853075,144,118,57138.0
284,49848.47589186,94,83,57677.0
285,49856.0897794,221,182,107135.7
286,49862.52103075,203,170,134459.3
287,49869.49325297,217,180,151901.66
288,49876.47172515,109,97,112701.16
289,49883.50436409,110,85,105177.5
290,49890.50575297,187,144,84469.82
291,49897.47589186,291,181,159240.08999999997
292,49904.4745015,268,230,131765.03000000003
293,49911.55575159,632,361,90430.2
294,49918.49548966,446,289,134486.18500000003
295,49926.15644598,181,147,92190.53
296,49932.51200297,132,104,90557.0
297,49939.56686262,617,401,101370.11
298,49946.45922373,175,142,144972.005
299,49953.46755853,169,156,158982.0
300,49960.46894742,269,215,132597.5
301,49967.65991968,152,128,72014.5
302,49974.56755706,160,148,79772.25
303,49982.51789707,145,139,60723.15
304,49988.63283634,385,262,89240.07999999997
305,49995.46269598,336,292,123660.805
306,50002.49464043,295,242,118426.0
307,50009.53839186,314,231,134751.0
308,50016.49464186,201,168,128344.03
309,50023.46755865,250,202,147693.0
310,50030.80436412,213,179,109062.275
311,50037.48353079,312,248,122698.82
312,50044.73422531,241,201,138782.915
313,50051.6613086,331,273,182742.39999999997
